source,target,strength,date,type
ASHBURTON,PSG,0.00943,2015,A
ASHBURTON,US,0.00377,2015,A
ASHBURTON,INVESTEC,0.00755,2015,A
ASHBURTON,NEDBANK,0.00943,2015,A
MOMENTUM,BCI,0.00943,2015,A
MOMENTUM,STANLIB,0.01321,2015,A
MOMENTUM,RECM,0.00755,2015,A
MOMENTUM,EFFICIENT,0.00566,2015,A
MOMENTUM,SIM,0.01509,2015,A
MOMENTUM,GRYPHON,0.00755,2015,A
MOMENTUM,TRUFFLE,0.00566,2015,A
MOMENTUM,SELECT,0.01698,2015,A
MOMENTUM,DISCOVERY,0.01132,2015,A
MOMENTUM,OLD,0.02075,2015,A
MOMENTUM,MARRIOT,0.00943,2015,A
MOMENTUM,NEWFUNDS,0.00566,2015,A
